"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","822","test_product_search","tests","2026-06-11","passed","2026-06-11","","test_product_search","",""
"","5451","test_invalid_user_login","tests","2026-06-11","passed","2026-06-11","","test_login","",""
